127.0.0.1 - - [23/Jun/2024:10:02:31 +0800] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/admin-dashboard.jsp HTTP/1.1" 200 14331
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/css/backend-plugin.min.css HTTP/1.1" 200 382693
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css HTTP/1.1" 200 58939
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/vendor/remixicon/fonts/remixicon.css HTTP/1.1" 200 112755
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css HTTP/1.1" 200 89730
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/css/backend.css?v=1.0.0 HTTP/1.1" 200 560694
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/css/admin-dashboard.css HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/images/logo.png HTTP/1.1" 200 15897
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/images/user/1.png HTTP/1.1" 200 9863
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/images/page-img/profile-bg.jpg HTTP/1.1" 200 19801
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:33 +0800] "GET /RedeemMe/assets/js/backend-bundle.min.js HTTP/1.1" 200 3273533
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:34 +0800] "GET /RedeemMe/assets/js/table-treeview.js HTTP/1.1" 200 16326
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:34 +0800] "GET /RedeemMe/assets/js/customizer.js HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:34 +0800] "GET /RedeemMe/assets/js/app.js HTTP/1.1" 200 20388
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:34 +0800] "GET /RedeemMe/assets/js/chart-custom.js HTTP/1.1" 200 156611
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:34 +0800] "GET /RedeemMe/assets/images/loader.gif HTTP/1.1" 200 332088
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:34 +0800] "GET /RedeemMe/assets/vendor/remixicon/fonts/remixicon.woff2?t=1590207869815 HTTP/1.1" 200 125268
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:34 +0800] "GET /RedeemMe/assets/vendor/line-awesome/dist/line-awesome/fonts/la-solid-900.woff2 HTTP/1.1" 200 96752
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:34 +0800] "GET /RedeemMe/assets/images/favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:37 +0800] "GET /RedeemMe/ViewDashboard HTTP/1.1" 200 14336
0:0:0:0:0:0:0:1 - - [23/Jun/2024:10:02:44 +0800] "GET /RedeemMe/ListProductController HTTP/1.1" 200 23964
