127.0.0.1 - - [29/Dec/2024:21:49:38 +0800] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/index.html HTTP/1.1" 200 28114
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232808
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 100333
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/aos/aos.css HTTP/1.1" 200 28765
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/css/main.css HTTP/1.1" 200 47318
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 18444
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80727
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets/images/favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/hero-img.png HTTP/1.1" 200 68245
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/why-us.png HTTP/1.1" 200 87066
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/apparel/dress.jpg HTTP/1.1" 200 32396
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/apparel/jeans.jpg HTTP/1.1" 200 17861
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/aos/aos.js HTTP/1.1" 200 13801
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/php-email-form/validate.js HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 56300
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 149995
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/waypoints/noframework.waypoints.js HTTP/1.1" 200 21869
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/imagesloaded/imagesloaded.pkgd.min.js HTTP/1.1" 200 5496
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35456
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/js/main.js HTTP/1.1" 200 6818
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/apparel/shoe.jpg HTTP/1.1" 200 26349
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/apparel/shoe2.jpg HTTP/1.1" 200 17753
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/apparel/tshirt.jpg HTTP/1.1" 200 15191
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/electronic/fan.jpg HTTP/1.1" 200 304647
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/electronic/cooker.jpg HTTP/1.1" 200 22444
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/electronic/iron.jpg HTTP/1.1" 200 92989
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/electronic/machine.jpg HTTP/1.1" 200 743806
0:0:0:0:0:0:0:1 - - [29/Dec/2024:21:49:39 +0800] "GET /RedeemMe/assets-landing/img/products/electronic/speaker.jpg HTTP/1.1" 200 56282
