127.0.0.1 - - [19/Apr/2025:16:04:39 +0800] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:04:40 +0800] "GET /RedeemMe/register-admin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:04:40 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:04:42 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:04:42 +0800] "GET /RedeemMe/assets/css/sign-up.css HTTP/1.1" 200 4341
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:04:47 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:04:51 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:04 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:06 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:07 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:09 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:11 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:12 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:14 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:25 +0800] "POST /RedeemMe/LoginController HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:32 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:05:46 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:06:04 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:06:27 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:06:29 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:06:30 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:06:32 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:10:05 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:10:45 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:10:47 +0800] "GET /RedeemMe/login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Apr/2025:16:10:49 +0800] "GET /RedeemMe/sign-up.jsp HTTP/1.1" 200 6020
